{\rtf1\ansi\ansicpg1252\cocoartf2761
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\paperw11900\paperh16840\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx566\tx1133\tx1700\tx2267\tx2834\tx3401\tx3968\tx4535\tx5102\tx5669\tx6236\tx6803\pardirnatural\partightenfactor0

\f0\fs24 \cf0 Increase the magnification a bit,NV\
Apply suction here for a second,NV\
Irrigate this area now,NV\
Hold that tissue steady,NV\
Give me a better angle on the bleeding,NV\
Clamp that vessel quickly,NV\
Retract the muscle slightly,NV\
Cauterize now,NV\
Slow your movement on the left,NV\
Good keep it like that,NV\
Switch to the grasper,NV\
Bring the camera closer,NV\
Rotate the view slightly,NV\
Cut right there,NV\
Watch for the nerve along this path,NV\
Stay clear while I dissect,NV\
Count the sponges,NV\
Verify the instrument count again,NV\
Are vitals looking good,NV\
Check the blood pressure now,NV\
Let's pause for a moment,NV\
Adjust the table height,NV\
Small adhesion spotted,NV\
Proceed gently here,NV\
Take a quick image for documentation,NV\
Back up a bit,NV\
Need better exposure here,NV\
Bring in the assistant view,NV\
How are we on anesthesia,NV\
Ease up the tension,NV\
Retract deeper on the right,NV\
Suction's weak\'97check the line,NV\
Tilt the scope up a little,NV\
Keep the field dry,NV\
We're almost at the target,NV\
Re\uc0\u8209 center the view,NV\
Hold that a second longer,NV\
Any bleeding left,NV\
Confirm the margin now,NV\
Zoom in one more level,NV\
Switch tools when ready,NV\
Cut a bit to the left,NV\
Clear the smoke,NV\
Preserve that structure,NV\
Does the depth look okay,NV\
Clean the lens quickly,NV\
Almost done here,NV\
Reinforce that suture,NV\
Pass me the clip applier,NV\
Let's close now,NV\
Please increase the magnification a bit,NV\
Please apply suction here for a second,NV\
Please irrigate this area now,NV\
Please hold that tissue steady,NV\
Please give me a better angle on the bleeding,NV\
Please clamp that vessel quickly,NV\
Please retract the muscle slightly,NV\
Please cauterize now,NV\
Please slow your movement on the left,NV\
Please good keep it like that,NV\
Please switch to the grasper,NV\
Please bring the camera closer,NV\
Please rotate the view slightly,NV\
Please cut right there,NV\
Please watch for the nerve along this path,NV\
Please stay clear while I dissect,NV\
Please count the sponges,NV\
Please verify the instrument count again,NV\
Please are vitals looking good,NV\
Please check the blood pressure now,NV\
Please let's pause for a moment,NV\
Please adjust the table height,NV\
Please small adhesion spotted,NV\
Please proceed gently here,NV\
Please take a quick image for documentation,NV\
Please back up a bit,NV\
Please need better exposure here,NV\
Please bring in the assistant view,NV\
Please how are we on anesthesia,NV\
Please ease up the tension,NV\
Please retract deeper on the right,NV\
Please suction's weak\'97check the line,NV\
Please tilt the scope up a little,NV\
Please keep the field dry,NV\
Please we're almost at the target,NV\
Please re\uc0\u8209 center the view,NV\
Please hold that a second longer,NV\
Please any bleeding left,NV\
Please confirm the margin now,NV\
Please zoom in one more level,NV\
Please switch tools when ready,NV\
Please cut a bit to the left,NV\
Please clear the smoke,NV\
Please preserve that structure,NV\
Please does the depth look okay,NV\
Please clean the lens quickly,NV\
Please almost done here,NV\
Please reinforce that suture,NV\
Please pass me the clip applier,NV\
Please let's close now,NV\
Kindly increase the magnification a bit,NV\
Kindly apply suction here for a second,NV\
Kindly irrigate this area now,NV\
Kindly hold that tissue steady,NV\
Kindly give me a better angle on the bleeding,NV\
Kindly clamp that vessel quickly,NV\
Kindly retract the muscle slightly,NV\
Kindly cauterize now,NV\
Kindly slow your movement on the left,NV\
Kindly good keep it like that,NV\
Kindly switch to the grasper,NV\
Kindly bring the camera closer,NV\
Kindly rotate the view slightly,NV\
Kindly cut right there,NV\
Kindly watch for the nerve along this path,NV\
Kindly stay clear while I dissect,NV\
Kindly count the sponges,NV\
Kindly verify the instrument count again,NV\
Kindly are vitals looking good,NV\
Kindly check the blood pressure now,NV\
Kindly let's pause for a moment,NV\
Kindly adjust the table height,NV\
Kindly small adhesion spotted,NV\
Kindly proceed gently here,NV\
Kindly take a quick image for documentation,NV\
Kindly back up a bit,NV\
Kindly need better exposure here,NV\
Kindly bring in the assistant view,NV\
Kindly how are we on anesthesia,NV\
Kindly ease up the tension,NV\
Kindly retract deeper on the right,NV\
Kindly suction's weak\'97check the line,NV\
Kindly tilt the scope up a little,NV\
Kindly keep the field dry,NV\
Kindly we're almost at the target,NV\
Kindly re\uc0\u8209 center the view,NV\
Kindly hold that a second longer,NV\
Kindly any bleeding left,NV\
Kindly confirm the margin now,NV\
Kindly zoom in one more level,NV\
Kindly switch tools when ready,NV\
Kindly cut a bit to the left,NV\
Kindly clear the smoke,NV\
Kindly preserve that structure,NV\
Kindly does the depth look okay,NV\
Kindly clean the lens quickly,NV\
Kindly almost done here,NV\
Kindly reinforce that suture,NV\
Kindly pass me the clip applier,NV\
Kindly let's close now,NV\
Can you increase the magnification a bit,NV\
Can you apply suction here for a second,NV\
Can you irrigate this area now,NV\
Can you hold that tissue steady,NV\
Can you give me a better angle on the bleeding,NV\
Can you clamp that vessel quickly,NV\
Can you retract the muscle slightly,NV\
Can you cauterize now,NV\
Can you slow your movement on the left,NV\
Can you good keep it like that,NV\
Can you switch to the grasper,NV\
Can you bring the camera closer,NV\
Can you rotate the view slightly,NV\
Can you cut right there,NV\
Can you watch for the nerve along this path,NV\
Can you stay clear while I dissect,NV\
Can you count the sponges,NV\
Can you verify the instrument count again,NV\
Can you are vitals looking good,NV\
Can you check the blood pressure now,NV\
Can you let's pause for a moment,NV\
Can you adjust the table height,NV\
Can you small adhesion spotted,NV\
Can you proceed gently here,NV\
Can you take a quick image for documentation,NV\
Can you back up a bit,NV\
Can you need better exposure here,NV\
Can you bring in the assistant view,NV\
Can you how are we on anesthesia,NV\
Can you ease up the tension,NV\
Can you retract deeper on the right,NV\
Can you suction's weak\'97check the line,NV\
Can you tilt the scope up a little,NV\
Can you keep the field dry,NV\
Can you we're almost at the target,NV\
Can you re\uc0\u8209 center the view,NV\
Can you hold that a second longer,NV\
Can you any bleeding left,NV\
Can you confirm the margin now,NV\
Can you zoom in one more level,NV\
Can you switch tools when ready,NV\
Can you cut a bit to the left,NV\
Can you clear the smoke,NV\
Can you preserve that structure,NV\
Can you does the depth look okay,NV\
Can you clean the lens quickly,NV\
Can you almost done here,NV\
Can you reinforce that suture,NV\
Can you pass me the clip applier,NV\
Can you let's close now,NV\
Could you increase the magnification a bit,NV\
Could you apply suction here for a second,NV\
Could you irrigate this area now,NV\
Could you hold that tissue steady,NV\
Could you give me a better angle on the bleeding,NV\
Could you clamp that vessel quickly,NV\
Could you retract the muscle slightly,NV\
Could you cauterize now,NV\
Could you slow your movement on the left,NV\
Could you good keep it like that,NV\
Could you switch to the grasper,NV\
Could you bring the camera closer,NV\
Could you rotate the view slightly,NV\
Could you cut right there,NV\
Could you watch for the nerve along this path,NV\
Could you stay clear while I dissect,NV\
Could you count the sponges,NV\
Could you verify the instrument count again,NV\
Could you are vitals looking good,NV\
Could you check the blood pressure now,NV\
Could you let's pause for a moment,NV\
Could you adjust the table height,NV\
Could you small adhesion spotted,NV\
Could you proceed gently here,NV\
Could you take a quick image for documentation,NV\
Could you back up a bit,NV\
Could you need better exposure here,NV\
Could you bring in the assistant view,NV\
Could you how are we on anesthesia,NV\
Could you ease up the tension,NV\
Could you retract deeper on the right,NV\
Could you suction's weak\'97check the line,NV\
Could you tilt the scope up a little,NV\
Could you keep the field dry,NV\
Could you we're almost at the target,NV\
Could you re\uc0\u8209 center the view,NV\
Could you hold that a second longer,NV\
Could you any bleeding left,NV\
Could you confirm the margin now,NV\
Could you zoom in one more level,NV\
Could you switch tools when ready,NV\
Could you cut a bit to the left,NV\
Could you clear the smoke,NV\
Could you preserve that structure,NV\
Could you does the depth look okay,NV\
Could you clean the lens quickly,NV\
Could you almost done here,NV\
Could you reinforce that suture,NV\
Could you pass me the clip applier,NV\
Could you let's close now,NV\
Would you increase the magnification a bit,NV\
Would you apply suction here for a second,NV\
Would you irrigate this area now,NV\
Would you hold that tissue steady,NV\
Would you give me a better angle on the bleeding,NV\
Would you clamp that vessel quickly,NV\
Would you retract the muscle slightly,NV\
Would you cauterize now,NV\
Would you slow your movement on the left,NV\
Would you good keep it like that,NV\
Would you switch to the grasper,NV\
Would you bring the camera closer,NV\
Would you rotate the view slightly,NV\
Would you cut right there,NV\
Would you watch for the nerve along this path,NV\
Would you stay clear while I dissect,NV\
Would you count the sponges,NV\
Would you verify the instrument count again,NV\
Would you are vitals looking good,NV\
Would you check the blood pressure now,NV\
Would you let's pause for a moment,NV\
Would you adjust the table height,NV\
Would you small adhesion spotted,NV\
Would you proceed gently here,NV\
Would you take a quick image for documentation,NV\
Would you back up a bit,NV\
Would you need better exposure here,NV\
Would you bring in the assistant view,NV\
Would you how are we on anesthesia,NV\
Would you ease up the tension,NV\
Would you retract deeper on the right,NV\
Would you suction's weak\'97check the line,NV\
Would you tilt the scope up a little,NV\
Would you keep the field dry,NV\
Would you we're almost at the target,NV\
Would you re\uc0\u8209 center the view,NV\
Would you hold that a second longer,NV\
Would you any bleeding left,NV\
Would you confirm the margin now,NV\
Would you zoom in one more level,NV\
Would you switch tools when ready,NV\
Would you cut a bit to the left,NV\
Would you clear the smoke,NV\
Would you preserve that structure,NV\
Would you does the depth look okay,NV\
Would you clean the lens quickly,NV\
Would you almost done here,NV\
Would you reinforce that suture,NV\
Would you pass me the clip applier,NV\
