text,label
make sure to highlight the right instrument,TR
kindly track da vinci’s right instrument,TR
go ahead and track the robotic instrument on the right,TR
please align with the right manipulator,TR
go ahead and follow the da vinci’s right end effector,TR
could you zoom on the right manipulator,TR
kindly follow the robotic right arm,TR
kindly focus on the robotic instrument on the right,TR
make sure to bring into view the right arm,TR
kindly bring into view the robotic right arm,TR
please track the robotic right arm,TR
make sure to align with the robotic instrument on the right,TR
make sure to center on the da vinci’s right end effector,TR
kindly align with the right manipulator,TR
let’s track the robotic instrument on the right,TR
could you focus on da vinci’s right instrument,TR
make sure to highlight the right tool,TR
could you align with the da vinci right tool,TR
could you highlight the robotic right arm,TR
please zoom on the robotic right arm,TR
could you track the da vinci right tool,TR
i need you to highlight the right instrument,TR
make sure to track the da vinci’s right end effector,TR
please highlight da vinci’s right instrument,TR
let’s track the right manipulator,TR
could you focus on the da vinci right tool,TR
can you follow the right instrument,TR
i need you to align with the right arm,TR
please focus on da vinci’s right instrument,TR
let’s focus on the right tool,TR
make sure to zoom on the right arm,TR
go ahead and highlight the robotic right arm,TR
i need you to highlight the right tool,TR
could you track the right tool,TR
let’s follow the right instrument,TR
let’s zoom on the da vinci right tool,TR
kindly zoom on the right tool,TR
kindly highlight the right arm,TR
let’s focus on the robotic right arm,TR
make sure to align with the da vinci right tool,TR
i need you to track the robotic instrument on the right,TR
go ahead and track the robotic right arm,TR
let’s highlight the right tool,TR
kindly focus on the right instrument,TR
can you zoom on the da vinci’s right end effector,TR
could you bring into view the right tool,TR
let’s align with the robotic instrument on the right,TR
let’s align with the da vinci right tool,TR
let’s highlight the right manipulator,TR
please focus on the da vinci’s right end effector,TR
kindly align with the right instrument,TR
go ahead and bring into view the robotic instrument on the right,TR
kindly align with da vinci’s right instrument,TR
could you track the right manipulator,TR
let’s center on the da vinci’s right end effector,TR
please bring into view the right arm,TR
can you align with the right arm,TR
kindly bring into view the da vinci’s right end effector,TR
go ahead and center on the right arm,TR
could you follow the robotic right arm,TR
let’s bring into view the da vinci’s right end effector,TR
i need you to bring into view da vinci’s right instrument,TR
could you center on da vinci’s right instrument,TR
make sure to bring into view the robotic right arm,TR
let’s bring into view the right tool,TR
kindly focus on the robotic right arm,TR
make sure to highlight the right manipulator,TR
make sure to follow da vinci’s right instrument,TR
can you align with the right tool,TR
i need you to highlight the robotic instrument on the right,TR
let’s track the da vinci right tool,TR
let’s follow the robotic instrument on the right,TR
i need you to follow da vinci’s right instrument,TR
let’s focus on the right arm,TR
can you track the robotic right arm,TR
go ahead and highlight the right tool,TR
go ahead and follow the robotic right arm,TR
let’s align with da vinci’s right instrument,TR
make sure to align with the right tool,TR
please track the right instrument,TR
could you follow the right instrument,TR
let’s follow the right arm,TR
i need you to focus on the da vinci right tool,TR
could you focus on the right manipulator,TR
i need you to follow the right instrument,TR
kindly track the da vinci’s right end effector,TR
go ahead and center on the da vinci right tool,TR
let’s track the right tool,TR
can you bring into view the robotic instrument on the right,TR
please center on the right tool,TR
go ahead and center on the right tool,TR
kindly center on the da vinci right tool,TR
i need you to track the right manipulator,TR
could you bring into view the da vinci right tool,TR
please focus on the right manipulator,TR
can you center on the da vinci’s right end effector,TR
could you focus on the da vinci’s right end effector,TR
go ahead and zoom on the da vinci’s right end effector,TR
go ahead and follow the right instrument,TR
could you focus on the right instrument,TR
go ahead and follow the right tool,TR
please center on the robotic instrument on the right,TR
make sure to highlight the robotic right arm,TR
please follow the right arm,TR
kindly align with the robotic instrument on the right,TR
could you highlight the right manipulator,TR
kindly highlight the robotic instrument on the right,TR
i need you to bring into view the right arm,TR
go ahead and bring into view the right manipulator,TR
i need you to align with the da vinci’s right end effector,TR
please align with the robotic instrument on the right,TR
please follow the robotic right arm,TR
please center on the da vinci right tool,TR
can you zoom on the right tool,TR
i need you to zoom on the right arm,TR
kindly center on the right tool,TR
could you align with da vinci’s right instrument,TR
could you center on the da vinci’s right end effector,TR
could you follow the da vinci right tool,TR
kindly follow the robotic instrument on the right,TR
go ahead and focus on the robotic instrument on the right,TR
make sure to bring into view da vinci’s right instrument,TR
go ahead and bring into view the right tool,TR
can you follow the robotic instrument on the right,TR
let’s zoom on the da vinci’s right end effector,TR
can you highlight the right arm,TR
i need you to align with the robotic instrument on the right,TR
make sure to follow the right arm,TR
could you follow the right arm,TR
let’s highlight the robotic right arm,TR
kindly center on the robotic instrument on the right,TR
let’s follow the right manipulator,TR
make sure to bring into view the robotic instrument on the right,TR
kindly zoom on the right arm,TR
can you follow the robotic right arm,TR
kindly focus on the right manipulator,TR
could you highlight the right instrument,TR
i need you to zoom on the da vinci’s right end effector,TR
please focus on the right arm,TR
make sure to follow the robotic instrument on the right,TR
i need you to align with the da vinci right tool,TR
go ahead and center on da vinci’s right instrument,TR
go ahead and track the da vinci’s right end effector,TR
can you center on da vinci’s right instrument,TR
can you track the right instrument,TR
let’s highlight the right arm,TR
please zoom on the right arm,TR
let’s center on the right arm,TR
could you zoom on the right instrument,TR
go ahead and zoom on the robotic right arm,TR
i need you to focus on the right tool,TR
could you track the right instrument,TR
make sure to align with the right instrument,TR
let’s align with the right manipulator,TR
i need you to follow the da vinci right tool,TR
i need you to bring into view the robotic instrument on the right,TR
i need you to highlight the da vinci’s right end effector,TR
go ahead and align with the da vinci’s right end effector,TR
please follow the right tool,TR
can you align with da vinci’s right instrument,TR
could you center on the robotic right arm,TR
i need you to bring into view the right tool,TR
could you bring into view the da vinci’s right end effector,TR
please follow the right manipulator,TR
could you zoom on the da vinci right tool,TR
can you center on the right manipulator,TR
could you highlight the robotic instrument on the right,TR
i need you to track da vinci’s right instrument,TR
let’s bring into view the right instrument,TR
make sure to zoom on the right tool,TR
let’s center on the right tool,TR
go ahead and align with the robotic instrument on the right,TR
please highlight the robotic right arm,TR
i need you to track the robotic right arm,TR
i need you to focus on the robotic right arm,TR
kindly bring into view the right arm,TR
let’s track the right instrument,TR
please bring into view the robotic instrument on the right,TR
let’s zoom on the right arm,TR
kindly bring into view the right manipulator,TR
please track the right tool,TR
let’s center on da vinci’s right instrument,TR
i need you to highlight the right arm,TR
make sure to center on the right manipulator,TR
make sure to track the right tool,TR
please zoom on the right instrument,TR
kindly highlight the da vinci right tool,TR
please focus on the robotic right arm,TR
can you follow the right manipulator,TR
i need you to highlight the da vinci right tool,TR
can you highlight da vinci’s right instrument,TR
can you align with the robotic instrument on the right,TR
i need you to track the right arm,TR
make sure to bring into view the da vinci’s right end effector,TR
let’s align with the right instrument,TR
i need you to center on the da vinci right tool,TR
kindly bring into view the robotic instrument on the right,TR
go ahead and zoom on the right arm,TR
make sure to track the right instrument,TR
let’s zoom on da vinci’s right instrument,TR
i need you to center on da vinci’s left instrument,TL
can you zoom on the left manipulator,TL
make sure to highlight the da vinci left tool,TL
make sure to zoom on da vinci’s left instrument,TL
